Index: 0, Similarity Score: 1.0000, Filename: MVNCGT-0001-JLP1751YAR7000002_orig.graphml
Index: 2, Similarity Score: 0.9999, Filename: MVNCGT-0001-JLP1773PCBP000002_orig.graphml

Index: 10, Similarity Score: 1.0000, Filename: MVNCGT-0003-JP1791P3LY00AB_orig.graphml
Index: 377, Similarity Score: 0.9801, Filename: MVNCGT-0116-JP178R093304AB_orig.graphml

Index: 11, Similarity Score: 1.0000, Filename: MVNCGT-0004-JP17838RTD00AA_orig.graphml
Index: 140, Similarity Score: 0.9897, Filename: MVNCGT-0055-JLP1766YAUA000002_orig.graphml

Index: 12, Similarity Score: 1.0000, Filename: MVNCGT-0005-JLP17731S71000001_orig.graphml
Index: 56, Similarity Score: 0.9834, Filename: MVNCGT-0027-JLP1762A0JN000001_orig.graphml

Index: 13, Similarity Score: 1.0000, Filename: MVNCGT-0005-JP17914FTJ00AB_orig.graphml
Index: 436, Similarity Score: 0.9912, Filename: MVNCGT-0126-JLP175X9F97000002_orig.graphml

Index: 14, Similarity Score: 1.0000, Filename: MVNCGT-0006-JLP1773DN44000002_orig.graphml
Index: 263, Similarity Score: 0.9998, Filename: MVNCGT-0089-JLP174KZ86P000002_orig.graphml

Index: 15, Similarity Score: 1.0000, Filename: MVNCGT-0006-JP1791D8K800AB_orig.graphml
Index: 162, Similarity Score: 0.9929, Filename: MVNCGT-0060-JP17958GHR00AB_orig.graphml

Index: 16, Similarity Score: 1.0000, Filename: MVNCGT-0007-JLP17746045000002_orig.graphml
Index: 9, Similarity Score: 0.9988, Filename: MVNCGT-0003-JLP17737L4E000002_orig.graphml

Index: 17, Similarity Score: 1.0000, Filename: MVNCGT-0007-JP1784SD3700AC_orig.graphml
Index: 90, Similarity Score: 0.9769, Filename: MVNCGT-0037-JLP1765RJC4000001_orig.graphml

Index: 18, Similarity Score: 1.0000, Filename: MVNCGT-0007-JP179161H300AB_orig.graphml
Index: 157, Similarity Score: 0.9921, Filename: MVNCGT-0059-JP178N19P500AB_orig.graphml

Index: 19, Similarity Score: 1.0000, Filename: MVNCGT-0008-JLP1774PHKF000002_orig.graphml
Index: 292, Similarity Score: 0.9829, Filename: MVNCGT-0098-JLP174LT7RB000002_orig.graphml

Index: 20, Similarity Score: 1.0000, Filename: MVNCGT-0008-JP1791UKST00AB_orig.graphml
Index: 24, Similarity Score: 1.0000, Filename: MVNCGT-0008-JP1791UKST04AB_orig.graphml

Index: 21, Similarity Score: 1.0000, Filename: MVNCGT-0008-JP1791UKST01AB_orig.graphml
Index: 23, Similarity Score: 1.0000, Filename: MVNCGT-0008-JP1791UKST03AB_orig.graphml

Index: 22, Similarity Score: 1.0000, Filename: MVNCGT-0008-JP1791UKST02AB_orig.graphml
Index: 26, Similarity Score: 1.0000, Filename: MVNCGT-0008-JP1791UKST0HAB_orig.graphml

Index: 23, Similarity Score: 1.0000, Filename: MVNCGT-0008-JP1791UKST03AB_orig.graphml
Index: 21, Similarity Score: 1.0000, Filename: MVNCGT-0008-JP1791UKST01AB_orig.graphml

Index: 25, Similarity Score: 1.0000, Filename: MVNCGT-0008-JP1791UKST07AB_orig.graphml
Index: 24, Similarity Score: 1.0000, Filename: MVNCGT-0008-JP1791UKST04AB_orig.graphml

Index: 25, Similarity Score: 1.0000, Filename: MVNCGT-0008-JP1791UKST07AB_orig.graphml
Index: 24, Similarity Score: 1.0000, Filename: MVNCGT-0008-JP1791UKST04AB_orig.graphml

Index: 26, Similarity Score: 1.0000, Filename: MVNCGT-0008-JP1791UKST0HAB_orig.graphml
Index: 22, Similarity Score: 1.0000, Filename: MVNCGT-0008-JP1791UKST02AB_orig.graphml

Index: 27, Similarity Score: 1.0000, Filename: MVNCGT-0009-JP1791PMK300AB_orig.graphml
Index: 116, Similarity Score: 0.9911, Filename: MVNCGT-0047-JLP177HLJ5T000002_orig.graphml

Index: 28, Similarity Score: 1.0000, Filename: MVNCGT-0010-JP1791JTM500AB_orig.graphml
Index: 302, Similarity Score: 0.9959, Filename: MVNCGT-0101-JP1796ADNT00AB_orig.graphml

Index: 29, Similarity Score: 1.0000, Filename: MVNCGT-0011-JP17912T4E00AB_orig.graphml
Index: 42, Similarity Score: 1.0000, Filename: MVNCGT-0021-JP1791T1U900AB_orig.graphml

Index: 30, Similarity Score: 1.0000, Filename: MVNCGT-0012-JP1791P6T200AB_orig.graphml
Index: 363, Similarity Score: 0.9985, Filename: MVNCGT-0113-JLP176DLUF4000002_orig.graphml

Index: 31, Similarity Score: 1.0000, Filename: MVNCGT-0014-JLP174D1YP8000002_orig.graphml
Index: 109, Similarity Score: 0.9848, Filename: MVNCGT-0043-JLP17665XS7000001_orig.graphml

Index: 32, Similarity Score: 1.0000, Filename: MVNCGT-0015-JLP174D820H000001_orig.graphml
Index: 261, Similarity Score: 0.9808, Filename: MVNCGT-0088-JLP174KCN04000001_orig.graphml

Index: 33, Similarity Score: 1.0000, Filename: MVNCGT-0015-JLP1776A12E000002_orig.graphml
Index: 246, Similarity Score: 0.9911, Filename: MVNCGT-0082-JLP174J8GTE000002_orig.graphml

Index: 34, Similarity Score: 1.0000, Filename: MVNCGT-0015-JP1791HBH200AB_orig.graphml
Index: 189, Similarity Score: 0.9988, Filename: MVNCGT-0067-JLP174FFMX0000002_orig.graphml

Index: 35, Similarity Score: 1.0000, Filename: MVNCGT-0016-JLP174DT3GN000002_orig.graphml
Index: 118, Similarity Score: 0.9955, Filename: MVNCGT-0048-JLP177HB6NK000002_orig.graphml

Index: 36, Similarity Score: 1.0000, Filename: MVNCGT-0016-JLP1776G8LB000002_orig.graphml
Index: 272, Similarity Score: 0.9814, Filename: MVNCGT-0092-JLP175GBE8P000001_orig.graphml

Index: 37, Similarity Score: 1.0000, Filename: MVNCGT-0016-JP1791C6L800AB_orig.graphml
Index: 287, Similarity Score: 0.9970, Filename: MVNCGT-0095-JP178PMRY300AA_orig.graphml

Index: 38, Similarity Score: 1.0000, Filename: MVNCGT-0017-JLP174DGBF4000002_orig.graphml
Index: 296, Similarity Score: 0.9956, Filename: MVNCGT-0099-JP178PX2ZA00AB_orig.graphml

Index: 39, Similarity Score: 1.0000, Filename: MVNCGT-0017-JP17919UFU00AB_orig.graphml
Index: 395, Similarity Score: 0.9973, Filename: MVNCGT-0118-JLP176DF6U3000002_orig.graphml

Index: 40, Similarity Score: 1.0000, Filename: MVNCGT-0020-JLP1762L2ZF000001_orig.graphml
Index: 258, Similarity Score: 0.9704, Filename: MVNCGT-0086-JP1795AUX300AB_orig.graphml

Index: 41, Similarity Score: 1.0000, Filename: MVNCGT-0021-JLP174DD6CH000002_orig.graphml
Index: 43, Similarity Score: 0.9962, Filename: MVNCGT-0022-JLP174DF3UK000002_orig.graphml

Index: 42, Similarity Score: 1.0000, Filename: MVNCGT-0021-JP1791T1U900AB_orig.graphml
Index: 29, Similarity Score: 1.0000, Filename: MVNCGT-0011-JP17912T4E00AB_orig.graphml

Index: 43, Similarity Score: 1.0000, Filename: MVNCGT-0022-JLP174DF3UK000002_orig.graphml
Index: 41, Similarity Score: 0.9962, Filename: MVNCGT-0021-JLP174DD6CH000002_orig.graphml

Index: 44, Similarity Score: 1.0000, Filename: MVNCGT-0022-JP1791RM8200AB_orig.graphml
Index: 42, Similarity Score: 1.0000, Filename: MVNCGT-0021-JP1791T1U900AB_orig.graphml

Index: 45, Similarity Score: 1.0000, Filename: MVNCGT-0023-JLP174DBTF1000002_orig.graphml
Index: 364, Similarity Score: 0.9957, Filename: MVNCGT-0113-JP178P6RUF00AB_orig.graphml

Index: 46, Similarity Score: 1.0000, Filename: MVNCGT-0023-JP1791CLBX00AB_orig.graphml
Index: 81, Similarity Score: 1.0000, Filename: MVNCGT-0034-JP1794H5YL00AB_orig.graphml

Index: 47, Similarity Score: 1.0000, Filename: MVNCGT-0024-JLP174DEJJS000002_orig.graphml
Index: 439, Similarity Score: 0.9920, Filename: MVNCGT-0127-JLP175XXZ9D000002_orig.graphml

Index: 48, Similarity Score: 1.0000, Filename: MVNCGT-0024-JP1791D8YN00AB_orig.graphml
Index: 77, Similarity Score: 1.0000, Filename: MVNCGT-0033-JP1794HHUM00AB_orig.graphml

Index: 49, Similarity Score: 1.0000, Filename: MVNCGT-0025-JLP174D77BX000002_orig.graphml
Index: 52, Similarity Score: 0.9989, Filename: MVNCGT-0026-JLP174DM17B000002_orig.graphml

Index: 50, Similarity Score: 1.0000, Filename: MVNCGT-0025-JLP177BY86R000001_orig.graphml
Index: 57, Similarity Score: 0.9928, Filename: MVNCGT-0027-JLP177B4L5H000002_orig.graphml

Index: 51, Similarity Score: 1.0000, Filename: MVNCGT-0025-JP1791M7C400AB_orig.graphml
Index: 67, Similarity Score: 0.9912, Filename: MVNCGT-0031-JLP17659HFF000001_orig.graphml

Index: 52, Similarity Score: 1.0000, Filename: MVNCGT-0026-JLP174DM17B000002_orig.graphml
Index: 49, Similarity Score: 0.9989, Filename: MVNCGT-0025-JLP174D77BX000002_orig.graphml

Index: 53, Similarity Score: 1.0000, Filename: MVNCGT-0026-JLP177BAGG1000002_orig.graphml
Index: 226, Similarity Score: 0.9959, Filename: MVNCGT-0078-JLP174HJ7XY000002_orig.graphml

Index: 54, Similarity Score: 1.0000, Filename: MVNCGT-0026-JP1791RAM200AB_orig.graphml
Index: 393, Similarity Score: 0.9972, Filename: MVNCGT-0116-JP1797C53U00AB_orig.graphml

Index: 55, Similarity Score: 1.0000, Filename: MVNCGT-0027-JLP174DDUSN000002_orig.graphml
Index: 292, Similarity Score: 0.9853, Filename: MVNCGT-0098-JLP174LT7RB000002_orig.graphml

Index: 56, Similarity Score: 1.0000, Filename: MVNCGT-0027-JLP1762A0JN000001_orig.graphml
Index: 12, Similarity Score: 0.9834, Filename: MVNCGT-0005-JLP17731S71000001_orig.graphml

Index: 57, Similarity Score: 1.0000, Filename: MVNCGT-0027-JLP177B4L5H000002_orig.graphml
Index: 50, Similarity Score: 0.9928, Filename: MVNCGT-0025-JLP177BY86R000001_orig.graphml

Index: 58, Similarity Score: 1.0000, Filename: MVNCGT-0027-JP17914ATY00AB_orig.graphml
Index: 133, Similarity Score: 0.9816, Filename: MVNCGT-0053-JLP177JA47T000002_orig.graphml

Index: 59, Similarity Score: 1.0000, Filename: MVNCGT-0028-JLP174D29G1000002_orig.graphml
Index: 185, Similarity Score: 0.9892, Filename: MVNCGT-0065-JP1795K9D100AB_orig.graphml

Index: 60, Similarity Score: 1.0000, Filename: MVNCGT-0028-JLP17621N75000002_orig.graphml
Index: 137, Similarity Score: 0.9929, Filename: MVNCGT-0054-JLP177JJXYS000002_orig.graphml

Index: 61, Similarity Score: 1.0000, Filename: MVNCGT-0028-JP17948UA000AB_orig.graphml
Index: 119, Similarity Score: 0.9824, Filename: MVNCGT-0048-JP17944YGU00AB_orig.graphml

Index: 62, Similarity Score: 1.0000, Filename: MVNCGT-0029-JLP174DHESG000002_orig.graphml
Index: 432, Similarity Score: 0.9953, Filename: MVNCGT-0125-JLP175XJDBX000001_orig.graphml

Index: 63, Similarity Score: 1.0000, Filename: MVNCGT-0029-JLP177CMS25000001_orig.graphml
Index: 194, Similarity Score: 0.9992, Filename: MVNCGT-0068-JLP177SARSY000002_orig.graphml

Index: 64, Similarity Score: 1.0000, Filename: MVNCGT-0030-JLP174DED4X000002_orig.graphml
Index: 362, Similarity Score: 0.9880, Filename: MVNCGT-0112-JP1797WHHH00AB_orig.graphml

Index: 65, Similarity Score: 1.0000, Filename: MVNCGT-0030-JP17949YA800AB_orig.graphml
Index: 5, Similarity Score: 0.9950, Filename: MVNCGT-0002-JP1782A8RF00AA_orig.graphml

Index: 66, Similarity Score: 1.0000, Filename: MVNCGT-0031-JLP174DRHJH000002_orig.graphml
Index: 175, Similarity Score: 0.9934, Filename: MVNCGT-0064-JP178P22B000AB_orig.graphml

Index: 67, Similarity Score: 1.0000, Filename: MVNCGT-0031-JLP17659HFF000001_orig.graphml
Index: 191, Similarity Score: 0.9950, Filename: MVNCGT-0067-JLP1767RLKP000001_orig.graphml

Index: 68, Similarity Score: 1.0000, Filename: MVNCGT-0031-JLP177C3CDB000002_orig.graphml
Index: 63, Similarity Score: 0.9887, Filename: MVNCGT-0029-JLP177CMS25000001_orig.graphml

Index: 69, Similarity Score: 1.0000, Filename: MVNCGT-0031-JP1794UX5G00AB_orig.graphml
Index: 367, Similarity Score: 0.9798, Filename: MVNCGT-0114-JLP176D38S0000002_orig.graphml

Index: 70, Similarity Score: 1.0000, Filename: MVNCGT-0032-JLP174DYA8J000002_orig.graphml
Index: 350, Similarity Score: 0.9848, Filename: MVNCGT-0110-JLP175PTMAR000002_orig.graphml

Index: 71, Similarity Score: 1.0000, Filename: MVNCGT-0032-JLP177D17PD000001_orig.graphml
Index: 255, Similarity Score: 0.9899, Filename: MVNCGT-0085-JP1795JLUC00AB_orig.graphml

Index: 72, Similarity Score: 1.0000, Filename: MVNCGT-0032-JP1794KUG900AB_orig.graphml
Index: 16, Similarity Score: 0.9735, Filename: MVNCGT-0007-JLP17746045000002_orig.graphml

Index: 73, Similarity Score: 1.0000, Filename: MVNCGT-0033-JLP174DYW42000002_orig.graphml
Index: 159, Similarity Score: 0.9908, Filename: MVNCGT-0060-JLP174EUNYF000002_orig.graphml

Index: 74, Similarity Score: 1.0000, Filename: MVNCGT-0033-JLP17655R7B000002_orig.graphml
Index: 104, Similarity Score: 0.9995, Filename: MVNCGT-0041-JP1794AS1S00AB_orig.graphml

Index: 75, Similarity Score: 1.0000, Filename: MVNCGT-0033-JLP177DFBN3000002_orig.graphml
Index: 80, Similarity Score: 1.0000, Filename: MVNCGT-0034-JLP177D92FH000002_orig.graphml

Index: 76, Similarity Score: 1.0000, Filename: MVNCGT-0033-JP178A1U9P00AB_orig.graphml
Index: 62, Similarity Score: 0.9850, Filename: MVNCGT-0029-JLP174DHESG000002_orig.graphml

Index: 77, Similarity Score: 1.0000, Filename: MVNCGT-0033-JP1794HHUM00AB_orig.graphml
Index: 121, Similarity Score: 1.0000, Filename: MVNCGT-0049-JP1794SMRH00AB_orig.graphml

Index: 78, Similarity Score: 1.0000, Filename: MVNCGT-0034-JLP174D4A71000002_orig.graphml
Index: 127, Similarity Score: 1.0000, Filename: MVNCGT-0052-JLP174EZGJW000002_orig.graphml

Index: 79, Similarity Score: 1.0000, Filename: MVNCGT-0034-JLP1765RJ40000001_orig.graphml
Index: 363, Similarity Score: 0.9958, Filename: MVNCGT-0113-JLP176DLUF4000002_orig.graphml

Index: 80, Similarity Score: 1.0000, Filename: MVNCGT-0034-JLP177D92FH000002_orig.graphml
Index: 75, Similarity Score: 1.0000, Filename: MVNCGT-0033-JLP177DFBN3000002_orig.graphml

Index: 81, Similarity Score: 1.0000, Filename: MVNCGT-0034-JP1794H5YL00AB_orig.graphml
Index: 136, Similarity Score: 1.0000, Filename: MVNCGT-0054-JLP1766FGNH000002_orig.graphml

Index: 82, Similarity Score: 1.0000, Filename: MVNCGT-0035-JLP174DH0U8000002_orig.graphml
Index: 46, Similarity Score: 0.9778, Filename: MVNCGT-0023-JP1791CLBX00AB_orig.graphml

Index: 83, Similarity Score: 1.0000, Filename: MVNCGT-0035-JLP1765H0RN000002_orig.graphml
Index: 321, Similarity Score: 0.9999, Filename: MVNCGT-0106-JP1796C3U700AB_orig.graphml

Index: 84, Similarity Score: 1.0000, Filename: MVNCGT-0035-JLP177DPUFG000002_orig.graphml
Index: 87, Similarity Score: 1.0000, Filename: MVNCGT-0036-JLP177DSC97000002_orig.graphml

Index: 85, Similarity Score: 1.0000, Filename: MVNCGT-0035-JP1794R63G00AB_orig.graphml
Index: 434, Similarity Score: 0.9991, Filename: MVNCGT-0125-JP17985WBC00AA_orig.graphml

Index: 86, Similarity Score: 1.0000, Filename: MVNCGT-0036-JLP17651ZPL000002_orig.graphml
Index: 275, Similarity Score: 0.9840, Filename: MVNCGT-0093-JLP175GM5HB000001_orig.graphml

Index: 87, Similarity Score: 1.0000, Filename: MVNCGT-0036-JLP177DSC97000002_orig.graphml
Index: 84, Similarity Score: 1.0000, Filename: MVNCGT-0035-JLP177DPUFG000002_orig.graphml

Index: 88, Similarity Score: 1.0000, Filename: MVNCGT-0036-JP179462GE00AB_orig.graphml
Index: 379, Similarity Score: 0.9894, Filename: MVNCGT-0116-JP178R093306AB_orig.graphml

Index: 89, Similarity Score: 1.0000, Filename: MVNCGT-0037-JLP174E6NAL000002_orig.graphml
Index: 253, Similarity Score: 0.9965, Filename: MVNCGT-0084-JLP1769FN8G000002_orig.graphml

Index: 90, Similarity Score: 1.0000, Filename: MVNCGT-0037-JLP1765RJC4000001_orig.graphml
Index: 47, Similarity Score: 0.9855, Filename: MVNCGT-0024-JLP174DEJJS000002_orig.graphml

Index: 91, Similarity Score: 1.0000, Filename: MVNCGT-0037-JLP177DY9J0000002_orig.graphml
Index: 119, Similarity Score: 0.9847, Filename: MVNCGT-0048-JP17944YGU00AB_orig.graphml

Index: 92, Similarity Score: 1.0000, Filename: MVNCGT-0037-JP1794AB6200AB_orig.graphml
Index: 287, Similarity Score: 0.9956, Filename: MVNCGT-0095-JP178PMRY300AA_orig.graphml

Index: 93, Similarity Score: 1.0000, Filename: MVNCGT-0038-JLP174EJK5K000002_orig.graphml
Index: 191, Similarity Score: 0.9874, Filename: MVNCGT-0067-JLP1767RLKP000001_orig.graphml

Index: 94, Similarity Score: 1.0000, Filename: MVNCGT-0038-JLP1766SDR1000002_orig.graphml
Index: 154, Similarity Score: 0.9956, Filename: MVNCGT-0058-JP1794J2PY00AB_orig.graphml

Index: 95, Similarity Score: 1.0000, Filename: MVNCGT-0038-JP17949J3100AB_orig.graphml
Index: 172, Similarity Score: 0.9957, Filename: MVNCGT-0064-JLP1766FBED000002_orig.graphml

Index: 96, Similarity Score: 1.0000, Filename: MVNCGT-0039-JLP174EPWSW000002_orig.graphml
Index: 66, Similarity Score: 0.9840, Filename: MVNCGT-0031-JLP174DRHJH000002_orig.graphml

Index: 97, Similarity Score: 1.0000, Filename: MVNCGT-0039-JLP1766HGKN000002_orig.graphml
Index: 310, Similarity Score: 0.9865, Filename: MVNCGT-0104-JLP176CW5J5000005_orig.graphml

Index: 98, Similarity Score: 1.0000, Filename: MVNCGT-0040-JLP174EUH5F000002_orig.graphml
Index: 170, Similarity Score: 0.9820, Filename: MVNCGT-0063-JP178PB6B300AA_orig.graphml

Index: 99, Similarity Score: 1.0000, Filename: MVNCGT-0040-JLP1766ALEY000001_orig.graphml
Index: 294, Similarity Score: 0.9699, Filename: MVNCGT-0098-JP1796G13J00AC_orig.graphml

Index: 100, Similarity Score: 1.0000, Filename: MVNCGT-0040-JP1794WYR300AB_orig.graphml
Index: 362, Similarity Score: 0.9841, Filename: MVNCGT-0112-JP1797WHHH00AB_orig.graphml

Index: 101, Similarity Score: 1.0000, Filename: MVNCGT-0041-JLP177D43G3000002_orig.graphml
Index: 103, Similarity Score: 1.0000, Filename: MVNCGT-0041-JLP177D43G3002002_orig.graphml

Index: 102, Similarity Score: 1.0000, Filename: MVNCGT-0041-JLP177D43G3001001_orig.graphml
Index: 103, Similarity Score: 1.0000, Filename: MVNCGT-0041-JLP177D43G3002002_orig.graphml

Index: 103, Similarity Score: 1.0000, Filename: MVNCGT-0041-JLP177D43G3002002_orig.graphml
Index: 102, Similarity Score: 1.0000, Filename: MVNCGT-0041-JLP177D43G3001001_orig.graphml

Index: 104, Similarity Score: 1.0000, Filename: MVNCGT-0041-JP1794AS1S00AB_orig.graphml
Index: 74, Similarity Score: 0.9995, Filename: MVNCGT-0033-JLP17655R7B000002_orig.graphml

Index: 105, Similarity Score: 1.0000, Filename: MVNCGT-0042-JLP174EY0CH000001_orig.graphml
Index: 303, Similarity Score: 0.9885, Filename: MVNCGT-0102-JLP174L2U8W000001_orig.graphml

Index: 106, Similarity Score: 1.0000, Filename: MVNCGT-0042-JLP17669DHH000002_orig.graphml
Index: 263, Similarity Score: 0.9999, Filename: MVNCGT-0089-JLP174KZ86P000002_orig.graphml

Index: 121, Similarity Score: 1.0000, Filename: MVNCGT-0049-JP1794SMRH00AB_orig.graphml
Index: 107, Similarity Score: 1.0000, Filename: MVNCGT-0042-JP17947MLF00AB_orig.graphml

Index: 108, Similarity Score: 1.0000, Filename: MVNCGT-0043-JLP174ECEU5000002_orig.graphml
Index: 393, Similarity Score: 0.9970, Filename: MVNCGT-0116-JP1797C53U00AB_orig.graphml

Index: 109, Similarity Score: 1.0000, Filename: MVNCGT-0043-JLP17665XS7000001_orig.graphml
Index: 31, Similarity Score: 0.9848, Filename: MVNCGT-0014-JLP174D1YP8000002_orig.graphml

Index: 110, Similarity Score: 1.0000, Filename: MVNCGT-0044-JLP174EM2BW000002_orig.graphml
Index: 294, Similarity Score: 0.9783, Filename: MVNCGT-0098-JP1796G13J00AC_orig.graphml

Index: 111, Similarity Score: 1.0000, Filename: MVNCGT-0044-JLP17662GEG000001_orig.graphml
Index: 244, Similarity Score: 0.9868, Filename: MVNCGT-0081-JP178PFJU000AB_orig.graphml

Index: 112, Similarity Score: 1.0000, Filename: MVNCGT-0044-JP1794GTPF00AB_orig.graphml
Index: 46, Similarity Score: 1.0000, Filename: MVNCGT-0023-JP1791CLBX00AB_orig.graphml

Index: 113, Similarity Score: 1.0000, Filename: MVNCGT-0046-JLP1766YUBT000002_orig.graphml
Index: 183, Similarity Score: 0.9907, Filename: MVNCGT-0065-JLP177L96AP000002_orig.graphml

Index: 114, Similarity Score: 1.0000, Filename: MVNCGT-0046-JP17948MUL00AC_orig.graphml
Index: 164, Similarity Score: 0.9856, Filename: MVNCGT-0061-JP178NM90F00AB_orig.graphml

Index: 115, Similarity Score: 1.0000, Filename: MVNCGT-0047-JLP17669681000002_orig.graphml
Index: 135, Similarity Score: 0.9989, Filename: MVNCGT-0054-JLP175CDMYT000001_orig.graphml

Index: 116, Similarity Score: 1.0000, Filename: MVNCGT-0047-JLP177HLJ5T000002_orig.graphml
Index: 150, Similarity Score: 0.9966, Filename: MVNCGT-0057-JLP177JWPRL000002_orig.graphml

Index: 117, Similarity Score: 1.0000, Filename: MVNCGT-0047-JP1794008P00AB_orig.graphml
Index: 153, Similarity Score: 0.9997, Filename: MVNCGT-0058-JLP175C67MJ000002_orig.graphml

Index: 118, Similarity Score: 1.0000, Filename: MVNCGT-0048-JLP177HB6NK000002_orig.graphml
Index: 35, Similarity Score: 0.9955, Filename: MVNCGT-0016-JLP174DT3GN000002_orig.graphml

Index: 119, Similarity Score: 1.0000, Filename: MVNCGT-0048-JP17944YGU00AB_orig.graphml
Index: 91, Similarity Score: 0.9847, Filename: MVNCGT-0037-JLP177DY9J0000002_orig.graphml

Index: 120, Similarity Score: 1.0000, Filename: MVNCGT-0049-JLP17660GNC000002_orig.graphml
Index: 122, Similarity Score: 0.9998, Filename: MVNCGT-0050-JLP1766XG9N000002_orig.graphml

Index: 121, Similarity Score: 1.0000, Filename: MVNCGT-0049-JP1794SMRH00AB_orig.graphml
Index: 107, Similarity Score: 1.0000, Filename: MVNCGT-0042-JP17947MLF00AB_orig.graphml

Index: 122, Similarity Score: 1.0000, Filename: MVNCGT-0050-JLP1766XG9N000002_orig.graphml
Index: 120, Similarity Score: 0.9998, Filename: MVNCGT-0049-JLP17660GNC000002_orig.graphml

Index: 123, Similarity Score: 1.0000, Filename: MVNCGT-0050-JP1794B3CB00AB_orig.graphml
Index: 124, Similarity Score: 1.0000, Filename: MVNCGT-0050-JP1794B3CB01AB_orig.graphml

Index: 124, Similarity Score: 1.0000, Filename: MVNCGT-0050-JP1794B3CB01AB_orig.graphml
Index: 123, Similarity Score: 1.0000, Filename: MVNCGT-0050-JP1794B3CB00AB_orig.graphml

Index: 125, Similarity Score: 1.0000, Filename: MVNCGT-0050-JP1794B3CB02AB_orig.graphml
Index: 123, Similarity Score: 1.0000, Filename: MVNCGT-0050-JP1794B3CB00AB_orig.graphml

Index: 126, Similarity Score: 1.0000, Filename: MVNCGT-0051-JLP1766C380000002_orig.graphml
Index: 280, Similarity Score: 0.9697, Filename: MVNCGT-0094-JLP176C4ZCU000002_orig.graphml

Index: 78, Similarity Score: 1.0000, Filename: MVNCGT-0034-JLP174D4A71000002_orig.graphml
Index: 127, Similarity Score: 1.0000, Filename: MVNCGT-0052-JLP174EZGJW000002_orig.graphml

Index: 128, Similarity Score: 1.0000, Filename: MVNCGT-0052-JLP17660ZR8000003_orig.graphml
Index: 145, Similarity Score: 1.0000, Filename: MVNCGT-0056-JLP17667B5J000002_orig.graphml

Index: 129, Similarity Score: 1.0000, Filename: MVNCGT-0052-JLP177JP0RD000001_orig.graphml
Index: 141, Similarity Score: 0.9874, Filename: MVNCGT-0055-JLP177JBYAJ000002_orig.graphml

Index: 130, Similarity Score: 1.0000, Filename: MVNCGT-0052-JP1794NMUP00AB_orig.graphml
Index: 51, Similarity Score: 0.9861, Filename: MVNCGT-0025-JP1791M7C400AB_orig.graphml

Index: 131, Similarity Score: 1.0000, Filename: MVNCGT-0053-JLP174EH3JE000002_orig.graphml
Index: 138, Similarity Score: 1.0000, Filename: MVNCGT-0055-JLP174E4FME000002_orig.graphml

Index: 132, Similarity Score: 1.0000, Filename: MVNCGT-0053-JLP176689D1000002_orig.graphml
Index: 140, Similarity Score: 1.0000, Filename: MVNCGT-0055-JLP1766YAUA000002_orig.graphml

Index: 133, Similarity Score: 1.0000, Filename: MVNCGT-0053-JLP177JA47T000002_orig.graphml
Index: 160, Similarity Score: 1.0000, Filename: MVNCGT-0060-JLP177KZCK0000002_orig.graphml

